"PAREDINT","BOOKSHOME","TECH","READ_AVG"
16,6,1.4998,481.8255
16,4,0.3909,603.1157
12,3,1.3838,365.6075
16,4,0.4668,610.6114
12,4,0.8511,578.0855
14.5,2,0.6349,428.4289
12,1,-1.5522,478.3457
16,3,-0.4301,529.2442
16,4,1.1343,664.2358
12,4,-0.4435,438.6292
12,1,0.1756,444.1109
16,4,1.1813,479.4597
16,3,0.4787,445.4045
9,2,0.203,356.8311
12,7,1.3144,501.1689
16,4,0.737,384.5658
16,3,1.0281,386.2325
12,2,0.0463,510.262
12,4,0.0898,607.5023
12,4,1.1217,425.394
16,4,0.4152,545.1791
12,3,-0.4438,432.7238
16,7,1.4583,454.4842
14.5,4,-0.0073,672.048
16,4,0.5383,517.8406
14.5,3,-0.2812,379.9381
16,2,-0.282,403.241
16,4,1.0229,550.0855
16,4,0.5166,539.4209
12,4,0.7387,508.6223
12,2,-0.6,593.5132
16,3,0.2801,584.6809
16,3,-0.159,466.8803
12,3,-0.4016,352.7881
14.5,6,1.2071,538.2765
16,4,0.8768,654.36
12,3,-0.4746,505.5272
16,3,1.2831,519.2123
6,1,-0.1632,601.961
12,2,-0.6259,577.018
12,4,0.5869,375.0096
16,2,0.5432,434.7798
12,3,-0.3588,481.6298
9,2,1.0991,470.0735
12,3,0.1588,553.705
16,6,-0.4679,616.8331
16,4,0.1403,798.1836
12,1,-0.9237,486.9979
14.5,6,1.3494,605.0538
16,4,1.2139,499.7753
16,4,-0.1622,590.1219
12,4,0.5224,548.8664
16,2,1.1343,312.9821
12,3,-0.0683,594.7456
16,4,1.3646,286.4377
16,4,1.4326,427.7447
16,4,0.232,494.3951
12,4,-0.213,538.2326
16,6,2.511,438.1182
16,3,-0.2873,488.7961
16,2,-0.8957,447.9827
12,7,0.5166,636.6041
16,2,-0.748,517.403
16,2,-0.7123,443.597
16,3,0.7159,634.2171
16,3,-0.8787,407.784
12,4,2.4082,449.7039
16,3,1.2898,460.6505
9,3,-0.726,287.593
16,2,-0.7123,385.8634
12,2,-1.7635,407.4324
16,1,-1.7465,275.7787
16,4,-0.6205,443.7746
12,2,-0.651,493.5486
16,3,-0.0144,455.5963
16,2,0.4414,476.0158
12,4,0.9246,686.3702
16,6,1.0303,636.4564
9,3,-0.1795,407.9444
16,6,1.0526,526.9804
16,6,0.7213,418.9872
16,1,0.1883,553.612
12,3,-0.0136,488.3937
16,4,0.2292,550.5964
14.5,4,-0.102,531.8986
16,7,1.4896,395.9481
16,2,1.7853,367.4853
16,2,-1.7306,351.11
16,6,-0.4293,496.6319
16,4,1.2831,506.6521
16,2,1.6298,270.4383
16,2,0.0495,564.1473
9,2,-1.7465,479.1574
16,1,0.9758,286.4915
12,1,-1.4484,422.8911
16,4,1.3087,653.532
12,2,2.374,469.6421
3,3,-0.0971,492.9854
12,4,0.3507,430.8742
12,3,0.232,529.7181
16,4,0.4946,495.7663
16,7,1.2084,481.2438
9,2,0.3849,433.1063
16,4,0.2886,500.2339
12,6,0.4207,551.8477
16,7,-0.0262,732.7545
16,6,0.7452,536.6888
16,2,1.6393,554.174
16,2,-0.5252,347.3596
12,3,1.2656,509.7238
16,3,-1.842,544.8414
9,4,-0.102,504.221
16,1,1.1192,328.163
12,1,-0.0145,468.4572
14.5,4,0.2098,501.8665
16,6,0.2292,590.4585
16,2,0.232,646.4562
12,4,0.66,628.6589
16,4,-2.0306,326.8177
16,1,-0.5988,590.1156
9,3,0.8053,454.5144
12,4,1.4896,439.4504
3,2,-0.3356,462.198
12,3,0.5092,528.2326
12,2,-0.982,550.2701
16,4,1.2345,585.164
16,2,-1.1605,325.0161
16,2,1.9644,364.1336
12,1,-1.3554,346.561
16,1,-0.9263,321.8505
16,2,1.355,452.3497
16,6,0.3461,645.7076
16,4,-0.3588,770.6798
16,4,0.5349,461.1208
16,2,-0.4745,596.9455
12,3,-0.0073,335.4943
16,3,0.3311,440.6643
16,2,0.3311,489.0186
16,7,1.0285,586.4586
16,3,-0.3588,463.1376
12,1,1.3291,440.1946
16,2,0.2607,508.0371
16,4,0.3535,450.9722
12,4,-0.0073,543.0927
16,4,0.3641,594.5059
16,3,0.7159,593.055
16,4,1.0229,566.2198
16,2,1.9113,417.8771
16,4,0.7159,596.0823
16,4,0.183,503.2895
16,2,-0.1114,509.7719
16,4,0.1428,585.9073
16,3,-0.6055,577.4759
6,1,-1.064,528.707
16,2,0.4484,545.2925
12,2,0.7427,565.28
16,2,-0.3295,354.7749
12,2,1.0229,400.1925
9,1,-1.2092,396.278
12,7,-0.9477,426.4474
14.5,2,-0.102,431.495
16,3,0.8245,560.7152
14.5,3,1.1998,443.0061
12,1,-1.8366,338.262
16,3,0.2419,549.9991
16,2,-0.2812,463.7558
16,4,-0.3724,426.0662
12,4,0.3777,536.3664
16,4,0.1891,667.3254
16,2,0.6543,476.6597
16,3,0.5224,436.4068
16,3,0.5166,565.9023
12,1,-0.8198,374.6747
9,4,0.7374,384.7523
16,2,-1.2294,460.4497
12,2,-1.8155,310.3323
16,2,1.3841,475.9474
12,6,1.0529,409.108
12,2,0.183,552.7285
16,4,0.5869,590.7127
12,3,-0.0073,546.9052
16,7,0.5598,736.884
16,3,1.0285,404.5798
16,4,-0.4482,329.372
16,4,1.1813,683.0628
12,2,-0.6259,441.1621
14.5,2,-0.2831,382.8278
12,3,0.8511,705.229
16,4,1.1343,491.3543
16,2,-0.3732,530.9625
16,4,1.7693,497.1162
12,3,0.9284,673.1286
9,4,-0.7219,406.4256
9,1,-0.1795,330.4018
9,2,-0.1622,540.5016
9,2,0.2028,299.5542
16,4,1.3869,512.8675
16,3,1.5788,398.3212
16,3,1.0849,539.6814
16,4,-0.3493,716.0377
12,4,0.3085,491.8423
16,4,-0.3302,599.1904
16,3,1.9651,548.3072
9,4,0.5349,486.8468
16,3,0.9758,667.1062
9,2,0.2657,633.0266
12,4,-0.3003,516.6912
16,4,-0.132,514.0545
12,3,-0.3595,440.2059
12,3,0.183,534.5575
16,1,-1.3073,349.8821
12,4,-0.2768,421.2156
12,1,-1.8558,422.3256
12,4,0.5029,455.1012
16,4,0.9135,427.8985
16,2,0.1597,359.8684
16,4,0.8945,380.6822
16,3,1.1343,422.7692
12,1,-0.9816,389.9296
