symbol,company_name,company_id,year,quarter,date
VRSK,"Verisk Analytics, Inc.",1027055.0,2018,1,2018-05-02 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2019,4,2020-02-19 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2019,3,2019-10-30 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2019,2,2019-07-31 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2019,1,2019-05-01 08:30:00
VRSN,"VeriSign, Inc.",36216.0,2009,4,2010-02-02 17:00:00
VRSN,"VeriSign, Inc.",36216.0,2009,2,2009-08-06 18:00:00
VRSN,"VeriSign, Inc.",36216.0,2009,1,2009-05-07 17:00:00
VRSN,"VeriSign, Inc.",36216.0,2010,4,2011-01-27 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2010,3,2010-10-28 17:00:00
VRSN,"VeriSign, Inc.",36216.0,2010,2,2010-08-02 17:00:00
VRSN,"VeriSign, Inc.",36216.0,2010,1,2010-04-28 17:00:00
VRSN,"VeriSign, Inc.",36216.0,2011,4,2012-01-26 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2011,3,2011-10-27 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2011,2,2011-07-28 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2011,1,2011-04-28 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2012,4,2013-01-24 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2012,3,2012-10-25 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2012,2,2012-07-26 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2012,1,2012-04-26 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2013,4,2014-02-06 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2013,3,2013-10-24 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2013,2,2013-07-25 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2013,1,2013-04-25 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2014,4,2015-02-05 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2014,3,2014-10-23 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2014,2,2014-07-24 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2014,1,2014-04-24 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2015,4,2016-02-11 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2015,3,2015-10-22 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2015,2,2015-07-23 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2015,1,2015-04-23 16:30:00
VRSN,"VeriSign, Inc.",36216.0,2016,4,2017-02-09 16:30:00
