"PAREDINT","BOOKSHOME","READ_AVG"
12,1,440.1946
16,2,508.0371
16,4,450.9722
12,4,543.0927
16,4,594.5059
16,NA,609.8268
16,3,593.055
16,4,566.2198
16,2,417.8771
16,4,596.0823
16,4,503.2895
16,NA,740.2161
16,NA,657.2167
16,2,509.7719
16,4,585.9073
16,3,577.4759
6,1,528.707
16,2,545.2925
12,2,565.28
16,2,354.7749
12,2,400.1925
9,1,396.278
16,NA,730.1788
12,7,426.4474
14.5,2,431.495
16,3,560.7152
14.5,3,443.0061
16,NA,374.8389
12,1,338.262
16,3,549.9991
16,NA,443.8967
16,2,463.7558
16,NA,634.6518
16,4,426.0662
NA,NA,662.2647
12,4,536.3664
16,4,667.3254
16,NA,505.9112
16,2,476.6597
16,3,436.4068
16,3,565.9023
12,1,374.6747
9,4,384.7523
16,2,460.4497
12,2,310.3323
NA,NA,468.011
16,2,475.9474
16,NA,356.7241
12,6,409.108
12,2,552.7285
16,NA,579.9079
16,4,590.7127
12,3,546.9052
16,7,736.884
16,3,234.0218
16,3,404.5798
12,NA,564.2015
16,NA,697.009
16,4,329.372
16,NA,572.4144
16,NA,570.5423
16,4,683.0628
12,2,441.1621
14.5,2,382.8278
12,3,705.229
16,4,491.3543
16,2,530.9625
16,4,497.1162
12,3,673.1286
9,4,406.4256
9,1,330.4018
12,NA,617.4137
16,NA,586.7784
9,2,540.5016
9,2,299.5542
16,4,512.8675
16,3,398.3212
16,3,539.6814
16,4,716.0377
12,4,491.8423
16,4,599.1904
16,3,548.3072
9,4,486.8468
16,3,667.1062
9,2,633.0266
12,4,516.6912
16,4,514.0545
12,3,440.2059
12,3,534.5575
16,1,349.8821
12,4,421.2156
12,1,422.3256
12,4,455.1012
16,4,427.8985
16,2,359.8684
NA,NA,591.388
16,4,380.6822
16,3,422.7692
NA,NA,452.9782
12,1,389.9296
16,4,561.2589
12,NA,577.9893
12,4,477.7687
16,4,744.3301
14.5,3,385.2181
16,6,701.9118
16,4,406.0931
9,3,458.3109
14.5,4,434.4324
9,2,513.9484
16,4,459.1209
14.5,3,531.8537
16,4,493.3098
9,2,467.3373
16,3,498.9671
16,4,291.7632
12,4,487.5315
16,3,492.8986
16,1,476.4948
16,4,650.818
12,4,526.8387
12,4,678.1094
16,4,720.9986
16,4,525.0789
16,NA,325.9417
16,7,480.1081
12,3,528.2108
12,4,321.8633
NA,NA,519.989
12,4,476.7196
16,3,483.0006
14.5,4,687.1265
9,NA,597.514
16,4,650.3856
12,3,563.6011
16,2,323.1395
NA,4,326.533
16,4,605.9922
12,2,517.2104
12,3,485.2142
6,1,400.9491
16,NA,614.6647
12,3,405.9867
16,6,439.3675
16,7,545.376
9,2,460.3732
12,6,474.0155
12,3,391.5792
16,4,521.7295
16,2,526.2126
16,1,591.9331
16,4,401.782
12,2,527.6003
12,4,439.8502
16,4,673.5577
14.5,NA,541.872
16,4,560.0462
16,NA,498.9224
9,3,269.5635
16,3,491.9322
16,4,555.0095
12,3,496.6285
16,3,747.3432
16,6,395.7886
9,4,477.2379
12,4,645.187
16,4,393.3351
16,4,527.5267
16,NA,359.0719
16,6,692.9363
16,NA,705.025
16,1,547.9845
16,2,396.5411
16,3,481.5058
12,4,558.1423
16,3,516.53
12,3,592.972
16,4,319.9977
16,4,394.5783
NA,2,596.296
12,2,497.3602
16,3,316.7451
16,NA,433.3522
12,NA,663.3492
16,4,566.504
9,2,443.4708
16,4,492.8445
NA,NA,511.0601
12,4,436.0588
16,2,450.3161
14.5,4,503.5168
16,2,486.744
12,3,704.6496
16,4,602.0846
16,2,385.2222
16,NA,660.5771
16,3,683.6766
12,2,444.1559
14.5,7,425.4371
NA,NA,568.2987
16,6,753.6451
16,3,547.5239
16,6,525.2734
16,NA,647.2612
12,3,653.9632
16,4,616.9242
12,4,536.8767
NA,NA,457.5346
16,2,378.4242
12,3,560.9755
12,4,373.6951
14.5,2,559.3446
12,3,588.6491
3,1,445.2824
3,4,434.9661
12,4,517.6036
16,3,426.1159
16,NA,517.4519
6,1,267.7813
NA,NA,519.3022
16,2,434.4616
14.5,6,541.9663
16,3,394.4616
12,3,456.0326
12,2,443.1344
16,4,588.5762
16,3,459.8897
16,NA,721.6321
16,2,383.9322
16,4,593.3569
